nation,year,share_air_time_valid,dep_total,n_rows,covid_flag,match_sensitive,reason
JP,2023,0.0,21140.0,874,False,False,share_air_time_valid < 0.5
JP,2024,0.0,22943.0,793,False,False,share_air_time_valid < 0.5
JP,2025,0.0,23933.0,820,False,False,share_air_time_valid < 0.5
KE,2018,0.0,108.0,6,False,False,share_air_time_valid < 0.5
KE,2019,0.0,584.0,24,False,False,share_air_time_valid < 0.5
KE,2020,0.0,152.0,10,True,False,share_air_time_valid < 0.5
KE,2021,0.0,214.0,24,True,False,share_air_time_valid < 0.5
KE,2022,0.0,376.0,24,False,False,share_air_time_valid < 0.5
KE,2023,0.0,520.0,24,False,False,share_air_time_valid < 0.5
KE,2024,0.0,788.0,24,False,False,share_air_time_valid < 0.5
KE,2025,0.0,590.0,24,False,False,share_air_time_valid < 0.5
KR,1990,0.0,3980.0,236,False,False,share_air_time_valid < 0.5
KR,1991,0.0,3545.0,241,False,False,share_air_time_valid < 0.5
KR,1992,0.0,4399.0,309,False,False,share_air_time_valid < 0.5
KR,1993,0.0,5632.0,331,False,False,share_air_time_valid < 0.5
KR,1994,0.0,5884.0,374,False,False,share_air_time_valid < 0.5
KR,1995,0.0,6636.0,369,False,False,share_air_time_valid < 0.5
KR,1996,0.0,7450.0,369,False,False,share_air_time_valid < 0.5
KR,1997,0.0,7945.0,349,False,False,share_air_time_valid < 0.5
KR,1998,0.0,6099.0,265,False,False,share_air_time_valid < 0.5
KR,1999,0.0,6496.0,241,False,False,share_air_time_valid < 0.5
KR,2000,0.0,6895.0,283,False,False,share_air_time_valid < 0.5
KR,2001,0.0,6114.0,269,False,False,share_air_time_valid < 0.5
KR,2002,0.0,7159.0,319,False,False,share_air_time_valid < 0.5
KR,2003,0.0,6889.0,304,False,False,share_air_time_valid < 0.5
KR,2004,0.0,7121.0,315,False,False,share_air_time_valid < 0.5
KR,2005,0.0,7894.0,344,False,False,share_air_time_valid < 0.5
KR,2006,0.0,8537.0,362,False,False,share_air_time_valid < 0.5
KR,2007,0.0,8981.0,338,False,False,share_air_time_valid < 0.5
KR,2008,0.0,9175.0,339,False,False,share_air_time_valid < 0.5
KR,2009,0.0,9911.0,389,False,False,share_air_time_valid < 0.5
KR,2010,0.0,10667.0,486,False,False,share_air_time_valid < 0.5
KR,2011,0.0,12007.0,589,False,False,share_air_time_valid < 0.5
KR,2012,0.0,12429.0,702,False,False,share_air_time_valid < 0.5
KR,2013,0.0,13062.0,677,False,False,share_air_time_valid < 0.5
KR,2014,0.0,13768.0,659,False,False,share_air_time_valid < 0.5
KR,2015,0.0,14002.0,666,False,False,share_air_time_valid < 0.5
KR,2016,0.0,16102.0,674,False,False,share_air_time_valid < 0.5
KR,2017,0.0,16559.0,605,False,False,share_air_time_valid < 0.5
KR,2018,0.0,16515.0,550,False,False,share_air_time_valid < 0.5
KR,2019,0.0,13749.0,478,False,False,share_air_time_valid < 0.5
KR,2020,0.0,5950.0,297,True,False,share_air_time_valid < 0.5
